pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,Total Stats,is_legendary
1,Bulbasaur,grass,poison,45,49,49,65,65,45,318,0
2,Ivysaur,grass,poison,60,62,63,80,80,60,405,0
3,Venusaur,grass,poison,80,100,123,122,120,80,625,0
4,Charmander,fire,None,39,52,43,60,50,65,309,0
5,Charmeleon,fire,None,58,64,58,80,65,80,405,0
6,Charizard,fire,flying,78,104,78,159,115,100,634,0
7,Squirtle,water,None,44,48,65,50,64,43,314,0
8,Wartortle,water,None,59,63,80,65,80,58,405,0
9,Blastoise,water,None,79,103,120,135,115,78,630,0
10,Caterpie,bug,None,45,30,35,20,20,45,195,0
11,Metapod,bug,None,50,20,55,25,25,30,205,0
12,Butterfree,bug,flying,60,45,50,90,80,70,395,0
13,Weedle,bug,poison,40,35,30,20,20,50,195,0
14,Kakuna,bug,poison,45,25,50,25,25,35,205,0
15,Beedrill,bug,poison,65,150,40,15,80,145,495,0
16,Pidgey,normal,flying,40,45,40,35,35,56,251,0
17,Pidgeotto,normal,flying,63,60,55,50,50,71,349,0
18,Pidgeot,normal,flying,83,80,80,135,80,121,579,0
19,Rattata,normal,dark,30,56,35,25,35,72,253,0
20,Raticate,normal,dark,75,71,70,40,80,77,413,0
21,Spearow,normal,flying,40,60,30,31,31,70,262,0
22,Fearow,normal,flying,65,90,65,61,61,100,442,0
23,Ekans,poison,None,35,60,44,40,54,55,288,0
24,Arbok,poison,None,60,95,69,65,79,80,448,0
25,Pikachu,electric,None,35,55,40,50,50,90,320,0
26,Raichu,electric,electric,60,85,50,95,85,110,485,0
27,Sandshrew,ground,ice,50,75,90,10,35,40,300,0
28,Sandslash,ground,ice,75,100,120,25,65,65,450,0
29,Nidoran♀,poison,None,55,47,52,40,40,41,275,0
30,Nidorina,poison,None,70,62,67,55,55,56,365,0
31,Nidoqueen,poison,ground,90,92,87,75,85,76,505,0
32,Nidoran♂,poison,None,46,57,40,40,40,50,273,0
33,Nidorino,poison,None,61,72,57,55,55,65,365,0
34,Nidoking,poison,ground,81,102,77,85,75,85,505,0
35,Clefairy,fairy,None,70,45,48,60,65,35,323,0
36,Clefable,fairy,None,95,70,73,95,90,60,483,0
37,Vulpix,fire,ice,38,41,40,50,65,65,299,0
38,Ninetales,fire,ice,73,67,75,81,100,109,505,0
39,Jigglypuff,normal,fairy,115,45,20,45,25,20,270,0
40,Wigglytuff,normal,fairy,140,70,45,85,50,45,435,0
41,Zubat,poison,flying,40,45,35,30,40,55,245,0
42,Golbat,poison,flying,75,80,70,65,75,90,455,0
43,Oddish,grass,poison,45,50,55,75,65,30,320,0
44,Gloom,grass,poison,60,65,70,85,75,40,395,0
45,Vileplume,grass,poison,75,80,85,110,90,50,490,0
